time,state,smoothing,residuals,variance,ac1,0,1,2,3
307,0.25580453815913334,0.26255436156920436,-0.006749823410071021,4.9710190067830354e-05,0.07546806375421206,,,,
308,0.26734569170136274,0.26313547287481737,0.0042102188265453755,4.7975813051685725e-05,0.0883994342679662,,,,
309,0.2625830740634867,0.26371944629242355,-0.001136372228936866,4.7658926920552944e-05,0.08507515232385603,0.8318779,0.1451144,0.01221762,0.010790039
310,0.2584209784904899,0.2643060428477337,-0.0058850643572437855,4.790508540222116e-05,0.08184354337652322,,,,
311,0.271386796296828,0.26489483448523427,0.006491961811593727,4.6698718725686495e-05,0.08883425485977073,,,,
312,0.26321452100443643,0.26548528506160524,-0.002270764057168806,4.652661447073237e-05,0.08805567248094305,,,,
313,0.2689331274106559,0.2660768932539931,0.002856234156662807,4.654148073854054e-05,0.08375045862915384,,,,
314,0.26389421362719767,0.26666928378320454,-0.0027750701560068647,4.5820276778499376e-05,0.06637488133944364,,,,
315,0.2517412564330368,0.2672620538713794,-0.015520797438342615,4.707844916747283e-05,0.07387603116974509,,,,
316,0.27899428289336553,0.26785474895158284,0.011139533941782687,4.802360575132375e-05,0.042426790069754076,,,,
317,0.25904071586609234,0.2684469438827607,-0.00940622801666835,4.870256568253251e-05,0.02722201333368711,,,,
318,0.26462128881880265,0.26903832094011526,-0.004417032121312614,4.8628722220336395e-05,0.038274433254461754,,,,
319,0.26434393189163136,0.26962881176128073,-0.005284879869649373,4.87479659022008e-05,0.05333280165919854,0.80870867,0.16777621,0.012531924,0.010983172
320,0.26736224961481847,0.2702184824560555,-0.0028562328412370386,4.698235831123169e-05,0.05917955487109145,,,,
321,0.2783634634126549,0.27080748546846595,0.007555977944188941,4.742454948846128e-05,0.056959677706389496,,,,
322,0.26834249123262194,0.27139590792908785,-0.003053416696465916,4.676455737928792e-05,0.054868056190546736,,,,
323,0.2860625511805915,0.2719838472742943,0.014078703906297174,4.833230421618218e-05,0.04765212024058831,,,,
324,0.27438448995029247,0.2725712200984533,0.001813269851839161,4.81283064801791e-05,0.05780195738046135,,,,
325,0.2845293348151847,0.2731578833372981,0.011371451477886596,4.8687587696792934e-05,0.06676234940791372,,,,
326,0.2749266644387857,0.2737436747277025,0.0011829897110832155,4.850521908277464e-05,0.06377087661162621,,,,
327,0.2731600781551317,0.2743282591523364,-0.0011681809972046708,4.828718663735972e-05,0.0702705392071071,,,,
328,0.2706339567249776,0.2749113319550347,-0.004277375230057112,4.805504846936497e-05,0.0729258374840899,,,,
329,0.2660464000271262,0.27549284860096146,-0.009446448573835253,4.878650309441492e-05,0.07879623281070523,0.80143356,0.17531577,0.01203149,0.011219127
330,0.2739856680008177,0.2760727670489677,-0.0020870990481500207,4.8719662693698974e-05,0.07967919353013117,,,,
331,0.2947594160179047,0.27665117150715324,0.018108244510751437,5.123047326098581e-05,0.06632684525699693,,,,
332,0.27860089695769674,0.2772282646987959,0.00137263225890083,5.047589904457571e-05,0.05989381094603869,,,,
333,0.2742929209295437,0.27780399781995097,-0.00351107689040725,5.031135023067967e-05,0.06452727998183366,,,,
334,0.28114694871795565,0.27837809349280557,0.0027688552251500798,5.012252299528781e-05,0.05494989207959523,,,,
335,0.27914663575160703,0.2789502080824673,0.00019642766913974263,4.938546185845223e-05,0.05921106623248504,,,,
